UMAP_1	UMAP_2	region_id	flag	Start	End
-0.54861987	-0.6598349	0	False	924508	925162
-0.1267585	1.2427483	1	False	1019671	1019869
0.8879331	1.0781922	2	False	1231879	1231954
2.3054435	2.5858195	3	False	1231974	1232092
-1.0428256	2.2431188	4	False	1232584	1232739
2.191078	2.1271298	5	False	1273809	1273988
3.2181113	0.6648253	6	False	1375102	1375592
0.9388483	4.979307	7	False	1375607	1375634
2.4143622	5.2814636	8	False	1407253	1407264
2.1777217	2.8518596	9	False	1407278	1407346
1.4610394	5.1345034	10	False	1574916	1574946
0.82468164	8.750166	11	False	1599601	1599617
4.4576044	5.5681148	12	False	1599704	1599715
2.408933	7.0659103	13	False	1659302	1659326
2.614831	5.8528333	14	False	1659375	1659413
1.8688403	-1.4131995	15	False	1692515	1693334
1.2237715	-0.5301105	16	False	1745977	1746358
1.2000548	1.450382	17	False	1891012	1891280
3.4550843	0.7902608	18	False	3796433	3796691
-0.12671278	1.1109858	19	False	5991982	5992109
0.024584519	1.2785112	20	False	5992124	5992218
3.0670524	-0.10708225	21	False	6199469	6199977
3.255956	2.935139	22	False	6208720	6208926
2.429935	9.423045	23	False	6245317	6245383
1.0670574	1.9996861	24	False	6554378	6554459
2.2348144	2.4734893	25	False	6554514	6554636
0.5627747	-1.0083492	26	False	6601724	6602235
0.5988099	-0.5800519	27	False	6602403	6602909
-1.9345143	3.9015248	28	False	6701722	6701739
3.880732	1.5222461	29	False	6701755	6702115
-1.1587588	1.0545382	30	False	7680783	7680950
-0.8974903	1.0169822	31	False	7704983	7705178
0.9295205	7.3238554	32	False	7784405	7784422
3.0948994	-0.271414	33	False	7961299	7961909
1.6772082	1.0599004	34	False	8026128	8026478
0.7592036	1.9700414	35	False	8703332	8703534
-1.5207096	9.620299	36	False	8703557	8703571
0.18095781	7.873055	37	False	9129172	9129195
-1.6899315	5.2169733	38	False	9182121	9182145
0.32783464	-0.05736443	39	False	9182229	9182485
-0.59991616	9.484232	40	False	9411024	9411147
-0.32522202	9.205049	41	False	9411211	9411469
6.4572983	3.917989	42	False	9627055	9627195
6.8860197	5.4573073	43	False	9627211	9627253
-5.2028027	3.7182493	44	False	9652224	9652255
-5.5858026	4.2822866	45	False	9652277	9652305
0.30646753	-1.1334436	46	False	9823105	9823384
0.39015236	3.7864614	47	False	9823953	9824068
3.7617884	-0.4462367	48	False	9943156	9943579
3.0206385	3.5428267	49	False	10398822	10398907
0.29372355	7.411092	50	False	10398940	10398995
-0.9874796	8.638954	51	False	10399009	10399028
3.538886	1.950459	52	False	10430298	10430588
1.8627745	1.3925875	53	False	10474821	10475037
3.6790085	6.734429	54	False	10793940	10794019
-1.2963008	1.3875415	55	False	10794045	10794532
3.2453387	2.3797712	56	False	10796499	10796965
2.499015	-1.171505	57	False	11012389	11012781
1.8793492	2.7133598	58	False	11099838	11099910
1.5350661	3.3970573	59	False	11262842	11262948
0.18821332	7.2298136	60	False	11273193	11273204
0.76688945	-0.8784038	61	False	11478779	11479297
2.0747786	10.354768	62	False	11859426	11859585
1.0707191	1.2458221	63	False	11908055	11908667
0.7592951	1.5142735	64	False	11909600	11909984
0.48984635	1.4382772	65	False	11934650	11934759
4.021964	2.5067246	66	False	12229879	12230092
-0.17006329	1.6746534	67	False	15409820	15409934
1.3568437	5.46258	68	False	15526846	15526887
-2.4562325	5.8482943	69	False	15526970	15526982
0.3891696	2.1412868	70	False	15834947	15835103
2.996939	3.226253	71	False	15847596	15847725
4.103249	5.198148	72	False	15847775	15847789
1.1737137	1.8525789	73	False	16155969	16156158
3.9952352	1.2923368	74	False	16440557	16440788
-0.9331399	3.5791235	75	False	17438548	17438586
-0.80040395	3.4640288	76	False	17438601	17438641
0.47554538	1.7899693	77	False	18902545	18902616
-0.53474617	1.3832046	78	False	19644090	19644361
-0.66290754	3.797966	79	False	21345890	21345952
0.33612153	5.146141	80	False	21345997	21346049
-0.68015444	-0.7478052	81	False	21651380	21651856
6.8968477	6.511734	82	False	21659176	21659196
-3.2649724	2.986613	83	False	21937429	21937553
-4.9456506	7.34533	84	False	21937587	21937598
-1.43289	2.1043963	85	False	21937714	21937797
1.8408936	1.1807256	86	False	22052648	22052794
1.4015435	1.9778221	87	False	22451807	22452047
0.61620295	3.4892838	88	False	22710767	22710866
-0.6555753	8.693681	89	False	23019174	23019189
2.773602	0.7130601	90	False	23019238	23019598
0.9316264	4.1968136	91	False	23559408	23559439
1.3166282	3.4245536	92	False	23559499	23559654
3.797194	0.47818992	93	False	23691627	23691929
-3.848013	5.641686	94	False	23743503	23743514
2.3023026	3.284294	95	False	23800821	23800940
1.8861637	0.4758784	96	False	25247311	25247518
5.8139424	7.927909	97	False	25797124	25797147
0.029655326	5.90919	98	False	25859408	25859462
-0.56655407	6.498326	99	False	25859480	25859515
0.0884376	5.245857	100	False	25859548	25859607
1.883097	5.337462	101	False	25906456	25906506
6.3712797	5.730218	102	False	25998069	25998164
6.4274173	3.4813213	103	False	25998237	25998530
1.8718327	-0.4135335	104	False	26620630	26621059
-1.4241085	3.98308	105	False	26621072	26621096
-0.2128542	9.223651	106	False	26692988	26693075
1.7238616	2.2981386	107	False	26695439	26695820
-0.5431423	0.33331606	108	False	26993621	26993845
1.7188345	0.74528205	109	False	27154992	27155306
2.8433578	1.5034026	110	False	27321990	27322306
-1.1142529	3.0603123	111	False	27322341	27322367
-0.8056371	8.035889	112	False	27349558	27349577
2.6692045	0.22187474	113	False	27830587	27830929
2.6116798	2.6544273	114	False	27914698	27914802
1.5677125	3.8497694	115	False	28259477	28259508
1.1785293	0.932049	116	False	28259547	28259645
3.365936	0.4799844	117	False	28328820	28329202
-2.1238756	5.562423	118	False	28369704	28369716
