UMAP_1	UMAP_2	region_id	flag	Start	End
-0.39739755	-0.45723423	0	False	924508	925162
-0.41427034	1.1020341	1	False	1019671	1019869
0.6248261	1.4327393	2	False	1231879	1231954
1.3182347	2.3154538	3	False	1231974	1232092
-1.9097372	1.0496944	4	False	1232584	1232739
1.3139343	1.931076	5	False	1273809	1273988
2.2032495	1.0225688	6	False	1375102	1375592
-0.44851154	4.4111533	7	False	1375607	1375634
0.65044034	4.5762253	8	False	1407253	1407264
1.2611606	2.6141336	9	False	1407278	1407346
-0.48639426	4.3587174	10	False	1574916	1574946
-4.6913342	5.14851	11	False	1599601	1599617
2.261421	4.854626	12	False	1599704	1599715
2.2193515	6.422768	13	False	1659302	1659326
2.5604703	5.917122	14	False	1659375	1659413
1.6970341	-0.49922526	15	False	1692515	1693334
1.1843038	-0.059879214	16	False	1745977	1746358
0.6564683	1.3534682	17	False	1891012	1891280
2.4230819	1.0654414	18	False	3796433	3796691
-0.16773129	1.1834003	19	False	5991982	5992109
-0.13935761	1.2864287	20	False	5992124	5992218
2.3083951	0.45350185	21	False	6199469	6199977
2.1562407	2.8461964	22	False	6208720	6208926
-4.7810087	7.308766	23	False	6245317	6245383
0.57079273	1.9781194	24	False	6554378	6554459
1.1880304	2.1152234	25	False	6554514	6554636
0.4630162	-0.45819852	26	False	6601724	6602235
0.44973955	-0.26347423	27	False	6602403	6602909
-0.86426115	3.8183455	28	False	6701722	6701739
2.8434315	1.6011301	29	False	6701755	6702115
-1.2342101	0.45805132	30	False	7680783	7680950
-1.1418092	0.60604256	31	False	7704983	7705178
-3.2442741	5.46224	32	False	7784405	7784422
2.4372175	0.42167443	33	False	7961299	7961909
1.1351042	1.0648545	34	False	8026128	8026478
0.15506792	1.4542072	35	False	8703332	8703534
-3.4090574	7.0348196	36	False	8703557	8703571
-3.1014237	5.739777	37	False	9129172	9129195
-2.2306962	3.5146487	38	False	9182121	9182145
0.15683945	0.24462394	39	False	9182229	9182485
-4.046059	6.0156417	40	False	9411024	9411147
-4.086164	5.8031135	41	False	9411211	9411469
5.176156	4.166185	42	False	9627055	9627195
5.455798	5.0958953	43	False	9627211	9627253
0.7828874	7.7873244	44	False	9652224	9652255
0.6482254	8.041437	45	False	9652277	9652305
0.35806265	-0.577062	46	False	9823105	9823384
-0.8209608	2.6807928	47	False	9823953	9824068
2.6478848	0.24719724	48	False	9943156	9943579
1.9320614	3.3198543	49	False	10398822	10398907
-2.6447759	5.7365603	50	False	10398940	10398995
-2.750455	6.227746	51	False	10399009	10399028
2.7193818	1.9387844	52	False	10430298	10430588
1.251555	1.4494545	53	False	10474821	10475037
3.1026306	6.1179404	54	False	10793940	10794019
-1.3422464	0.56924814	55	False	10794045	10794532
2.142988	2.4545271	56	False	10796499	10796965
2.0431569	-0.35266903	57	False	11012389	11012781
1.0162871	2.486049	58	False	11099838	11099910
0.48088223	3.0443254	59	False	11262842	11262948
-2.1514592	5.4210353	60	False	11273193	11273204
0.7071474	-0.32622793	61	False	11478779	11479297
-5.0531936	7.541587	62	False	11859426	11859585
0.42247817	0.39753783	63	False	11908055	11908667
0.29638717	0.7586257	64	False	11909600	11909984
0.10722946	1.2381941	65	False	11934650	11934759
2.9841313	2.4534068	66	False	12229879	12230092
-0.0007457616	1.396161	67	False	15409820	15409934
-2.3137712	5.624738	68	False	15526846	15526887
-1.5221081	5.110101	69	False	15526970	15526982
-0.34062877	1.6502391	70	False	15834947	15835103
1.8918977	3.0789073	71	False	15847596	15847725
1.8943182	4.7265797	72	False	15847775	15847789
0.7617478	1.5591843	73	False	16155969	16156158
2.836041	1.3758214	74	False	16440557	16440788
-1.3691753	2.729705	75	False	17438548	17438586
-1.4164534	2.5983715	76	False	17438601	17438641
-0.09267703	1.5880073	77	False	18902545	18902616
-1.1321754	0.8448677	78	False	19644090	19644361
-1.8695366	2.001108	79	False	21345890	21345952
-3.305231	2.5903986	80	False	21345997	21346049
-0.41617134	-0.49961734	81	False	21651380	21651856
5.602815	5.750954	82	False	21659176	21659196
0.5747238	6.8072557	83	False	21937429	21937553
